applicant_id,cohort,selected,age_at_application,age_at_survey,age_gap,application_year_plus_age_gap
100449,A_2020,1,13.0,15.0,2.0,2022.0
100450,A_2020,1,11.0,13.0,2.0,2022.0
100451,A_2020,1,12.0,15.0,3.0,2023.0
100452,A_2020,0,14.0,16.0,2.0,2022.0
100453,A_2022,1,11.0,12.0,1.0,2023.0
100454,A_2022,0,13.0,14.0,1.0,2023.0
100455,A_2020,1,14.0,17.0,3.0,2023.0
100456,A_2022,1,12.0,12.0,0.0,2022.0
100457,A_2022,1,12.0,14.0,2.0,2024.0
100458,A_2020,1,11.0,14.0,3.0,2023.0
100459,A_2020,1,15.0,19.0,4.0,2024.0
100460,A_2020,0,12.0,14.0,2.0,2022.0
100461,A_2020,1,13.0,15.0,2.0,2022.0
100463,A_2020,0,12.0,14.0,2.0,2022.0
100464,B_2018,1,11.0,15.0,4.0,2022.0
100465,A_2022,1,12.0,13.0,1.0,2023.0
100466,A_2020,0,15.0,18.0,3.0,2023.0
100467,B_2018,0,14.0,16.0,2.0,2020.0
100468,A_2020,0,12.0,14.0,2.0,2022.0
100469,A_2020,1,12.0,14.0,2.0,2022.0
100470,A_2020,0,12.0,14.0,2.0,2022.0
100471,A_2022,0,14.0,15.0,1.0,2023.0
100472,A_2020,1,11.0,13.0,2.0,2022.0
100473,A_2022,1,14.0,14.0,0.0,2022.0
100474,A_2022,1,11.0,12.0,1.0,2023.0
100475,A_2020,0,13.0,15.0,2.0,2022.0
100476,A_2022,0,12.0,13.0,1.0,2023.0
100477,A_2020,0,11.0,14.0,3.0,2023.0
100478,A_2020,0,13.0,15.0,2.0,2022.0
100479,A_2020,0,11.0,13.0,2.0,2022.0
100480,A_2020,0,13.0,15.0,2.0,2022.0
100481,A_2020,1,12.0,14.0,2.0,2022.0
100482,A_2022,1,15.0,16.0,1.0,2023.0
100483,A_2020,1,14.0,17.0,3.0,2023.0
100484,A_2022,0,12.0,13.0,1.0,2023.0
100485,A_2020,0,13.0,15.0,2.0,2022.0
100486,A_2020,1,15.0,17.0,2.0,2022.0
100487,A_2020,1,14.0,16.0,2.0,2022.0
100488,A_2020,0,15.0,17.0,2.0,2022.0
100489,A_2020,1,11.0,14.0,3.0,2023.0
100490,A_2020,1,14.0,15.0,1.0,2021.0
100491,A_2022,1,12.0,13.0,1.0,2023.0
100492,A_2020,1,11.0,14.0,3.0,2023.0
100493,A_2020,1,13.0,16.0,3.0,2023.0
100494,B_2018,0,12.0,18.0,6.0,2024.0
100495,B_2018,0,13.0,18.0,5.0,2023.0
100497,A_2020,1,11.0,13.0,2.0,2022.0
100498,A_2020,1,14.0,16.0,2.0,2022.0
100499,A_2020,0,12.0,15.0,3.0,2023.0
100500,A_2022,1,14.0,16.0,2.0,2024.0
100501,A_2020,1,12.0,15.0,3.0,2023.0
100502,A_2020,1,11.0,14.0,3.0,2023.0
100503,A_2020,1,12.0,15.0,3.0,2023.0
100504,A_2020,0,14.0,16.0,2.0,2022.0
100505,A_2020,1,15.0,18.0,3.0,2023.0
100506,A_2022,0,11.0,13.0,2.0,2024.0
100507,A_2020,1,14.0,16.0,2.0,2022.0
100508,A_2020,1,10.0,12.0,2.0,2022.0
100509,A_2020,1,14.0,17.0,3.0,2023.0
100510,A_2020,0,16.0,17.0,1.0,2021.0
100511,B_2018,0,13.0,16.0,3.0,2021.0
100512,A_2020,1,13.0,15.0,2.0,2022.0
100514,A_2020,1,12.0,14.0,2.0,2022.0
100515,A_2020,1,12.0,14.0,2.0,2022.0
100516,A_2020,0,13.0,16.0,3.0,2023.0
100517,A_2020,0,12.0,14.0,2.0,2022.0
100518,B_2018,1,11.0,15.0,4.0,2022.0
100519,A_2020,1,12.0,14.0,2.0,2022.0
100520,A_2020,1,12.0,14.0,2.0,2022.0
100521,A_2022,1,12.0,12.0,0.0,2022.0
100522,A_2022,0,13.0,14.0,1.0,2023.0
100523,A_2020,0,12.0,14.0,2.0,2022.0
100524,A_2022,1,13.0,13.0,0.0,2022.0
100525,A_2020,0,11.0,14.0,3.0,2023.0
100526,A_2020,0,12.0,15.0,3.0,2023.0
100527,A_2020,0,12.0,14.0,2.0,2022.0
100528,A_2020,0,13.0,16.0,3.0,2023.0
