"applicant_id","cohort","selected","male","started_g6_private","started_g7_private","in_private_now","in_school_now","highest_grade","years_in_school","receiving_aid_now","history_g6_g7_current","g6_private_current_nonprivate","ever_g6_g7_private_current_nonprivate","current_status"
100119,"A_2020",1,0,1,1,0,0,7,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100120,"A_2020",0,0,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100121,"A_2020",1,0,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100122,"A_2020",1,0,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100123,"A_2020",1,1,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100124,"A_2020",1,1,0,0,0,0,6,1,0,"0 -> 0 -> 0",FALSE,FALSE,"Not currently enrolled; completion or exit unknown"
100125,"A_2020",1,1,1,1,0,0,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100126,"B_2018",1,0,0,0,0,1,9,6,0,"0 -> 0 -> 0",FALSE,FALSE,"Currently enrolled"
100127,"A_2020",1,0,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100128,"A_2022",1,1,1,0,0,1,5,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100129,"A_2020",1,0,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100130,"A_2022",0,1,1,1,1,1,6,2,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100131,"A_2020",0,1,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100132,"A_2022",1,0,1,1,1,1,6,2,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100133,"A_2022",1,1,1,1,1,1,6,2,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100134,"A_2020",0,0,1,1,1,1,9,4,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100135,"B_2018",1,1,0,0,1,1,9,6,1,"0 -> 0 -> 1",FALSE,FALSE,"Currently enrolled"
100136,"A_2020",1,0,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100137,"A_2020",1,0,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100138,"A_2020",0,1,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100139,"A_2020",1,1,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100140,"A_2020",0,0,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100141,"A_2020",0,0,1,1,1,1,8,4,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100142,"A_2020",1,1,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100143,"A_2022",1,1,1,1,1,1,6,2,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100144,"A_2020",0,0,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100145,"A_2020",1,0,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100146,"A_2022",0,1,1,1,1,1,6,2,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100147,"A_2020",0,0,0,0,0,0,8,3,0,"0 -> 0 -> 0",FALSE,FALSE,"Not currently enrolled; completion or exit unknown"
100148,"A_2020",0,0,1,1,0,0,7,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100149,"B_2018",1,0,1,1,1,1,9,6,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100150,"A_2020",1,1,1,1,0,0,9,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100151,"A_2020",1,1,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100152,"A_2022",1,1,1,1,1,1,6,3,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100153,"A_2020",0,0,0,0,0,0,6,1,0,"0 -> 0 -> 0",FALSE,FALSE,"Not currently enrolled; completion or exit unknown"
100154,"A_2022",1,0,1,1,1,1,7,2,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100155,"A_2022",1,1,1,1,1,1,7,3,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100156,"A_2020",1,1,1,1,1,1,6,3,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100157,"A_2020",1,1,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100158,"A_2020",0,1,1,1,1,1,8,4,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100159,"A_2022",1,0,0,0,0,1,5,1,0,"0 -> 0 -> 0",FALSE,FALSE,"Currently enrolled"
100160,"A_2020",0,0,1,0,0,0,5,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100161,"A_2022",0,0,1,1,1,1,6,2,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100162,"A_2020",1,1,1,1,1,1,6,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100163,"A_2020",0,0,0,0,0,1,7,3,0,"0 -> 0 -> 0",FALSE,FALSE,"Currently enrolled"
100164,"B_2018",1,0,1,1,1,1,9,6,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100165,"A_2020",0,1,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100166,"A_2020",0,0,0,0,0,1,8,4,0,"0 -> 0 -> 0",FALSE,FALSE,"Currently enrolled"
100167,"A_2020",1,1,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100168,"A_2022",0,0,1,0,1,1,5,2,0,"1 -> 0 -> 1",FALSE,FALSE,"Currently enrolled"
100169,"A_2020",1,1,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100170,"A_2020",0,0,1,1,1,1,8,5,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100171,"A_2020",1,0,0,1,0,1,7,3,0,"0 -> 1 -> 0",FALSE,TRUE,"Currently enrolled"
100172,"A_2020",0,0,,,0,0,5,0,0,"? -> ? -> 0",FALSE,FALSE,"Not currently enrolled; completion or exit unknown"
100173,"A_2020",0,1,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100174,"A_2022",1,1,1,1,1,1,6,2,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100175,"A_2020",0,0,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100176,"A_2020",0,1,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
