"applicant_id","cohort","selected","male","age_at_application","age_at_survey","age_change","age_unverifiable","age_decreased","age_unchanged","age_outside_2_to_4","age_at_survey_clean"
101003,"A_2022",0,1,14,13,-1,FALSE,TRUE,FALSE,TRUE,
101007,"A_2022",1,0,11,11,0,FALSE,FALSE,TRUE,TRUE,11
101008,"B_2018",0,1,12,17,5,FALSE,FALSE,FALSE,TRUE,17
101011,"A_2022",1,1,11,11,0,FALSE,FALSE,TRUE,TRUE,11
101018,"A_2020",0,1,15,,,TRUE,FALSE,FALSE,FALSE,
101020,"A_2020",0,0,,14,,TRUE,FALSE,FALSE,FALSE,14
101022,"A_2022",0,0,13,14,1,FALSE,FALSE,FALSE,TRUE,14
101026,"A_2022",1,0,14,13,-1,FALSE,TRUE,FALSE,TRUE,
101030,"B_2018",1,0,13,18,5,FALSE,FALSE,FALSE,TRUE,18
101031,"A_2022",0,0,14,15,1,FALSE,FALSE,FALSE,TRUE,15
101035,"A_2020",0,1,,14,,TRUE,FALSE,FALSE,FALSE,14
101048,"A_2022",1,0,11,11,0,FALSE,FALSE,TRUE,TRUE,11
101052,"A_2022",0,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
101061,"A_2022",1,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
101065,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
101073,"A_2020",1,1,,14,,TRUE,FALSE,FALSE,FALSE,14
101074,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
101078,"A_2020",0,0,,14,,TRUE,FALSE,FALSE,FALSE,14
101080,"B_2018",0,0,10,15,5,FALSE,FALSE,FALSE,TRUE,15
101087,"A_2020",0,0,,15,,TRUE,FALSE,FALSE,FALSE,15
101089,"B_2018",1,1,13,18,5,FALSE,FALSE,FALSE,TRUE,18
101092,"A_2020",1,1,,12,,TRUE,FALSE,FALSE,FALSE,12
101095,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
101096,"A_2022",0,0,14,15,1,FALSE,FALSE,FALSE,TRUE,15
101098,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
101099,"A_2022",0,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
101101,"A_2020",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
101104,"A_2022",0,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
101124,"A_2020",0,1,,17,,TRUE,FALSE,FALSE,FALSE,17
101125,"A_2020",0,0,13,18,5,FALSE,FALSE,FALSE,TRUE,18
101126,"A_2020",1,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
101135,"B_2018",1,0,11,16,5,FALSE,FALSE,FALSE,TRUE,16
101136,"A_2022",0,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
101142,"A_2022",1,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
101144,"B_2018",0,1,14,19,5,FALSE,FALSE,FALSE,TRUE,19
101145,"B_2018",1,1,15,20,5,FALSE,FALSE,FALSE,TRUE,20
101146,"A_2022",1,1,14,15,1,FALSE,FALSE,FALSE,TRUE,15
101147,"A_2022",0,0,16,16,0,FALSE,FALSE,TRUE,TRUE,16
101152,"B_2018",1,1,12,17,5,FALSE,FALSE,FALSE,TRUE,17
101157,"B_2018",1,0,12,17,5,FALSE,FALSE,FALSE,TRUE,17
101159,"A_2022",0,1,15,16,1,FALSE,FALSE,FALSE,TRUE,16
101166,"A_2020",1,1,,18,,TRUE,FALSE,FALSE,FALSE,18
101170,"A_2022",1,1,14,15,1,FALSE,FALSE,FALSE,TRUE,15
101173,"B_2018",1,0,9,14,5,FALSE,FALSE,FALSE,TRUE,14
101175,"A_2022",1,0,13,13,0,FALSE,FALSE,TRUE,TRUE,13
101189,"A_2022",0,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
101196,"A_2022",0,1,14,14,0,FALSE,FALSE,TRUE,TRUE,14
101198,"A_2022",0,1,11,11,0,FALSE,FALSE,TRUE,TRUE,11
101211,"B_2018",0,0,14,19,5,FALSE,FALSE,FALSE,TRUE,19
101213,"A_2020",1,0,,18,,TRUE,FALSE,FALSE,FALSE,18
101214,"B_2018",1,1,14,19,5,FALSE,FALSE,FALSE,TRUE,19
101223,"A_2022",0,1,13,13,0,FALSE,FALSE,TRUE,TRUE,13
101224,"A_2022",0,0,11,11,0,FALSE,FALSE,TRUE,TRUE,11
101225,"A_2022",0,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
101235,"A_2022",0,0,13,13,0,FALSE,FALSE,TRUE,TRUE,13
101236,"A_2020",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
101237,"A_2020",0,1,,,,TRUE,FALSE,FALSE,FALSE,
101239,"A_2020",0,1,15,16,1,FALSE,FALSE,FALSE,TRUE,16
101247,"A_2022",0,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
101250,"A_2022",0,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
101252,"A_2022",0,0,15,15,0,FALSE,FALSE,TRUE,TRUE,15
101253,"B_2018",0,0,11,16,5,FALSE,FALSE,FALSE,TRUE,16
101260,"A_2022",1,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
101263,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
101264,"A_2022",1,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
101269,"A_2020",1,0,13,,,TRUE,FALSE,FALSE,FALSE,
101270,"B_2018",0,0,10,15,5,FALSE,FALSE,FALSE,TRUE,15
101279,"A_2022",0,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
101280,"A_2022",0,1,16,17,1,FALSE,FALSE,FALSE,TRUE,17
101281,"B_2018",1,0,12,17,5,FALSE,FALSE,FALSE,TRUE,17
101284,"A_2022",1,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
101286,"B_2018",1,0,13,18,5,FALSE,FALSE,FALSE,TRUE,18
101292,"A_2022",1,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
101293,"B_2018",1,1,10,15,5,FALSE,FALSE,FALSE,TRUE,15
101295,"A_2022",0,0,14,15,1,FALSE,FALSE,FALSE,TRUE,15
101296,"A_2020",0,0,,14,,TRUE,FALSE,FALSE,FALSE,14
101304,"A_2022",1,1,11,11,0,FALSE,FALSE,TRUE,TRUE,11
101305,"A_2022",0,0,11,11,0,FALSE,FALSE,TRUE,TRUE,11
