applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked,cohort,private_history_g6_g7_current,g6_to_current_exit,g6_to_g7_nonprivate_start,earlier_private_to_current_exit,g6_private_g7_nonprivate_current_private,current_exit_schooling_status,age_change
100736,A,2020,1,0,15,1,,19,18,8,1,0,7.0,,38.0,,,0,1,1,0,0,11,0,0,0,0,0,0,3,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100750,A,2020,1,0,12,1,2,5,14,2,0,0,5.0,3.0,42.0,38.0,0,0,1,0,0,1,7,1,1,0,1,1,1,4,0,0,0,0.0,A2020,1->0->0,1,1,1,0,enrolled_nonprivate,2.0
100752,A,2020,1,0,11,1,,18,13,8,1,0,5.0,7.0,45.0,43.0,0,0,1,1,0,0,8,1,1,1,0,0,0,3,0,0,1,30.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,2.0
100771,A,2020,1,0,15,1,,19,18,3,0,0,,,38.0,,,0,1,1,0,0,8,1,1,1,0,0,0,3,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100792,A,2020,1,1,15,1,1,,18,3,0,0,0.0,5.0,58.0,54.0,0,0,1,1,0,0,6,1,0,0,0,0,0,2,0,0,1,40.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100794,A,2020,1,1,14,1,2,15,16,3,0,0,8.0,,47.0,,,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,2.0
100799,B,2018,1,0,12,0,3,,17,6,1,1,5.0,5.0,35.0,43.0,0,0,1,1,0,0,8,1,1,1,0,0,0,3,1,1,0,0.0,B2018,1->1->0,1,0,1,0,not_currently_enrolled,5.0
100813,A,2022,1,0,11,1,3,,12,7,1,0,,,,,,0,1,0,0,1,6,1,0,0,0,0,0,2,0,0,0,0.0,A2022,1->0->0,1,1,1,0,enrolled_nonprivate,1.0
100847,B,2018,1,1,13,0,,,17,6,1,1,,,,,,0,1,0,0,1,7,1,1,0,0,0,0,4,0,0,0,0.0,B2018,1->0->0,1,1,1,0,enrolled_nonprivate,4.0
100851,A,2020,1,1,13,1,1,17,15,4,0,0,6.0,5.0,38.0,39.0,0,0,1,1,0,0,8,1,1,1,0,0,0,3,0,0,1,3.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,2.0
100864,A,2020,1,1,12,1,2,17,14,8,1,0,7.0,9.0,48.0,57.0,0,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100868,A,2020,1,0,16,1,1,,18,3,0,0,3.0,6.0,43.0,47.0,0,0,1,1,0,0,8,1,1,1,0,0,0,3,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,2.0
