applicant_id,cohort,selected,years_in_school,highest_grade,total_repeats,years_minus_highest_grade_plus5,age_at_application,age_at_survey,age_change,exceeds_4_years,exceeds_age_change_plus1
100839,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100843,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100848,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100855,A2020,0,4,6,1,3.0,14,16,2.0,0,1
100856,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100857,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100859,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100861,A2020,0,4,8,0,1.0,11,13,2.0,0,1
100862,A2020,0,4,8,0,1.0,14,17,3.0,0,0
100866,A2020,0,2,6,1,1.0,12,15,3.0,0,0
100871,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100876,A2020,0,3,8,0,0.0,13,16,3.0,0,0
100877,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100880,A2020,0,4,8,0,1.0,15,17,2.0,0,1
100882,A2020,0,4,8,0,1.0,14,17,3.0,0,0
100888,A2020,0,5,8,1,2.0,14,16,2.0,1,1
100890,A2020,0,4,8,0,1.0,15,17,2.0,0,1
100893,A2020,0,4,7,1,2.0,11,14,3.0,0,0
100896,A2020,0,6,9,1,2.0,13,15,2.0,1,1
100902,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100903,A2020,0,3,8,0,0.0,12,14,2.0,0,0
100905,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100907,A2020,0,4,8,0,1.0,11,13,2.0,0,1
100918,A2020,0,5,8,1,2.0,12,14,2.0,1,1
100919,A2020,0,4,8,0,1.0,,14,,0,
100922,A2020,0,4,8,0,1.0,15,18,3.0,0,0
100928,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100929,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100930,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100932,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100937,A2020,0,1,5,0,1.0,14,16,2.0,0,0
100938,A2020,0,0,8,0,-3.0,12,15,3.0,0,0
100939,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100942,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100948,A2020,0,1,5,0,1.0,,14,,0,
100953,A2020,0,4,7,1,2.0,13,15,2.0,0,1
100955,A2020,0,3,8,0,0.0,13,16,3.0,0,0
100958,A2020,0,4,7,1,2.0,12,14,2.0,0,1
100959,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100961,A2020,0,1,6,0,0.0,13,16,3.0,0,0
100963,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100966,A2020,0,4,8,1,1.0,13,16,3.0,0,0
100970,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100973,A2020,0,4,7,1,2.0,12,14,2.0,0,1
100977,A2020,0,4,7,1,2.0,12,14,2.0,0,1
100978,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100979,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100989,A2020,0,4,8,0,1.0,,15,,0,
100990,A2020,0,4,6,2,3.0,12,15,3.0,0,0
100991,A2020,0,1,6,0,0.0,14,17,3.0,0,0
100994,A2020,0,4,8,0,1.0,14,16,2.0,0,1
100997,A2020,0,4,7,1,2.0,15,17,2.0,0,1
101000,A2020,0,3,7,0,1.0,15,18,3.0,0,0
101004,A2020,0,4,8,0,1.0,11,13,2.0,0,1
101005,A2020,0,4,8,0,1.0,11,13,2.0,0,1
101006,A2020,0,4,8,0,1.0,15,17,2.0,0,1
101009,A2020,0,2,7,1,0.0,14,17,3.0,0,0
101013,A2020,0,4,8,0,1.0,12,15,3.0,0,0
101015,A2020,0,2,7,0,0.0,12,14,2.0,0,0
101016,A2020,0,1,5,0,1.0,14,16,2.0,0,0
101017,A2020,0,4,7,0,2.0,12,15,3.0,0,0
101020,A2020,0,4,8,0,1.0,,14,,0,
101021,A2020,0,4,7,1,2.0,12,15,3.0,0,0
101024,A2020,0,1,5,0,1.0,13,15,2.0,0,0
101025,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101028,A2020,0,4,8,0,1.0,13,15,2.0,0,1
101032,A2020,0,4,8,0,1.0,12,15,3.0,0,0
101034,A2020,0,4,7,0,2.0,12,15,3.0,0,0
101035,A2020,0,4,7,1,2.0,,14,,0,
101038,A2020,0,4,8,0,1.0,10,13,3.0,0,0
101039,A2020,0,4,8,0,1.0,13,15,2.0,0,1
101044,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101047,A2020,0,4,8,0,1.0,12,15,3.0,0,0
101049,A2020,0,3,7,0,1.0,15,17,2.0,0,0
101050,A2020,0,4,8,0,1.0,12,15,3.0,0,0
101053,A2020,0,1,6,0,0.0,14,16,2.0,0,0
101055,A2020,0,6,9,1,2.0,15,17,2.0,1,1
101058,A2020,0,6,10,2,1.0,14,18,4.0,1,1
101062,A2020,0,4,8,0,1.0,13,16,3.0,0,0
101066,A2020,0,4,8,0,1.0,11,14,3.0,0,0
101068,A2020,0,4,9,0,0.0,12,15,3.0,0,0
101069,A2020,0,4,7,1,2.0,11,14,3.0,0,0
101070,A2020,0,1,6,0,0.0,14,17,3.0,0,0
101075,A2020,0,4,7,1,2.0,11,13,2.0,0,1
101076,A2020,0,4,8,0,1.0,10,13,3.0,0,0
101077,A2020,0,6,8,2,3.0,15,18,3.0,1,1
101078,A2020,0,4,8,0,1.0,,14,,0,
101079,A2020,0,4,8,0,1.0,11,14,3.0,0,0
101081,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101082,A2020,0,1,5,0,1.0,14,16,2.0,0,0
101083,A2020,0,4,8,0,1.0,12,15,3.0,0,0
101084,A2020,0,4,8,0,1.0,13,15,2.0,0,1
101085,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101086,A2020,0,4,7,1,2.0,11,14,3.0,0,0
101087,A2020,0,3,7,0,1.0,,15,,0,
101091,A2020,0,4,7,1,2.0,12,14,2.0,0,1
101100,A2020,0,3,8,0,0.0,14,17,3.0,0,0
101103,A2020,0,3,8,0,0.0,13,15,2.0,0,0
101105,A2020,0,4,8,0,1.0,11,15,4.0,0,0
101106,A2020,0,4,7,1,2.0,11,14,3.0,0,0
101107,A2020,0,4,8,0,1.0,11,13,2.0,0,1
101108,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101114,A2020,0,4,7,1,2.0,12,14,2.0,0,1
101115,A2020,0,4,7,1,2.0,13,15,2.0,0,1
101117,A2020,0,4,8,0,1.0,11,13,2.0,0,1
101119,A2020,0,4,8,0,1.0,15,17,2.0,0,1
101120,A2020,0,4,8,0,1.0,12,15,3.0,0,0
101123,A2020,0,4,8,0,1.0,12,15,3.0,0,0
101124,A2020,0,2,7,0,0.0,,17,,0,
101125,A2020,0,4,8,0,1.0,13,18,5.0,0,0
101127,A2020,0,3,6,1,2.0,14,16,2.0,0,0
101130,A2020,0,4,6,1,3.0,11,13,2.0,0,1
101131,A2020,0,4,9,0,0.0,14,17,3.0,0,0
101133,A2020,0,5,8,1,2.0,12,14,2.0,1,1
101149,A2020,0,4,7,1,2.0,12,15,3.0,0,0
101150,A2020,0,4,7,1,2.0,14,17,3.0,0,0
101151,A2020,0,5,8,1,2.0,15,18,3.0,1,1
101155,A2020,0,4,8,0,1.0,13,15,2.0,0,1
101162,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101163,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101164,A2020,0,5,8,1,2.0,15,18,3.0,1,1
101165,A2020,0,4,9,0,0.0,12,15,3.0,0,0
101167,A2020,0,4,7,0,2.0,10,12,2.0,0,1
101168,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101169,A2020,0,5,9,1,1.0,15,18,3.0,1,1
101172,A2020,0,2,7,0,0.0,14,17,3.0,0,0
101176,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101177,A2020,0,2,7,0,0.0,15,17,2.0,0,0
101178,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101179,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101181,A2020,0,4,8,0,1.0,10,13,3.0,0,0
101187,A2020,0,4,7,1,2.0,13,15,2.0,0,1
101188,A2020,0,2,6,0,1.0,14,16,2.0,0,0
101190,A2020,0,4,7,1,2.0,11,13,2.0,0,1
101192,A2020,0,3,8,0,0.0,16,19,3.0,0,0
101193,A2020,0,4,7,1,2.0,12,14,2.0,0,1
101195,A2020,0,4,8,0,1.0,11,13,2.0,0,1
101197,A2020,0,4,8,0,1.0,11,14,3.0,0,0
101201,A2020,0,4,7,1,2.0,12,14,2.0,0,1
101202,A2020,0,4,7,0,2.0,16,18,2.0,0,1
101203,A2020,0,4,6,2,3.0,12,15,3.0,0,0
101206,A2020,0,4,8,0,1.0,14,17,3.0,0,0
101208,A2020,0,4,7,1,2.0,14,17,3.0,0,0
101209,A2020,0,4,8,0,1.0,11,14,3.0,0,0
101210,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101217,A2020,0,4,8,0,1.0,12,14,2.0,0,1
101218,A2020,0,3,6,1,2.0,13,15,2.0,0,0
101221,A2020,0,4,9,0,0.0,12,15,3.0,0,0
101228,A2020,0,4,9,0,0.0,12,15,3.0,0,0
101231,A2020,0,4,8,0,1.0,11,14,3.0,0,0
101232,A2020,0,4,8,0,1.0,11,14,3.0,0,0
