applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood
100531,A,2020,1,1,12,1,3,16
100532,B,2018,1,1,11,1,2,
100533,A,2020,0,0,12,1,2,5
100534,A,2022,0,1,11,1,,
100535,A,2020,1,1,13,1,2,
100536,A,2020,1,1,13,1,,17
100537,A,2020,1,1,11,1,1,19
100538,A,2022,0,0,12,1,2,
100539,A,2020,0,1,12,1,3,15
100540,A,2022,0,1,12,1,2,
100541,A,2020,0,0,13,1,,
100542,A,2022,0,0,11,1,1,
100543,A,2020,0,1,14,1,2,5
100544,A,2020,0,1,13,1,1,5
100545,A,2020,1,0,10,1,,4
100546,A,2020,0,1,15,1,1,
100547,A,2020,0,1,12,1,2,17
100548,A,2020,1,1,13,1,,
100549,A,2022,0,1,11,1,2,
100550,A,2020,1,0,11,1,,12
100551,A,2020,1,0,12,1,2,19
100552,A,2020,1,0,11,1,2,19
100553,A,2020,0,0,12,1,2,17
100554,A,2020,0,1,11,1,2,6
100555,A,2022,1,1,11,1,,
100556,A,2020,0,0,12,1,3,11
100557,A,2022,1,0,15,1,2,
100558,A,2020,0,0,14,1,2,19
100559,A,2020,1,1,12,1,3,
100560,A,2020,1,1,13,1,,6
100561,A,2022,1,1,11,1,2,
100562,A,2022,1,1,12,1,2,
100563,A,2022,0,0,11,1,,
100564,B,2018,1,1,12,1,2,
100565,A,2022,0,1,15,1,3,
100566,A,2020,0,1,12,1,2,19
100567,B,2018,1,0,13,1,,
100568,A,2022,0,1,,1,,
100569,A,2022,1,0,12,1,3,
100570,A,2020,1,0,16,1,,6
100571,A,2020,0,1,12,1,2,
100572,A,2020,1,1,14,1,2,17
100573,A,2020,0,1,13,1,,19
100574,A,2022,1,0,13,1,3,
100575,A,2020,1,0,12,1,,5
100576,A,2022,0,0,12,1,2,
100577,B,2018,0,0,14,1,,
100578,A,2020,1,1,13,1,2,19
100579,A,2020,1,0,13,1,2,4
100580,A,2020,0,0,11,1,2,
100581,A,2020,0,1,14,1,,19
100582,A,2022,0,0,11,1,2,
100583,A,2020,1,1,12,1,,8
100584,A,2022,1,1,13,1,,
100585,A,2020,1,1,13,1,2,
100586,A,2020,1,1,12,1,1,19
100587,A,2020,1,1,11,1,2,
100588,B,2018,1,1,12,0,,
100589,A,2020,0,1,13,1,2,
100590,A,2020,1,0,11,1,2,
100591,A,2020,0,1,11,1,3,
100592,A,2020,1,0,13,1,2,19
100593,A,2020,1,0,14,1,,5
100594,A,2020,0,0,11,1,3,
100595,A,2020,1,1,14,1,2,
100596,B,2018,1,0,14,0,,
100597,A,2020,1,1,10,1,1,7
100598,A,2020,0,0,13,1,2,
100599,A,2020,0,1,14,1,3,17
100600,A,2020,1,0,,1,2,5
100601,A,2022,1,1,11,1,2,
100602,A,2020,0,1,12,1,1,17
100603,A,2022,1,0,11,1,,
100604,A,2022,0,1,11,1,3,
100605,A,2020,0,0,11,1,3,18
100606,B,2018,1,1,11,0,,
100607,A,2020,0,1,13,1,2,7
100608,A,2020,0,1,12,1,2,7
100609,A,2020,0,1,13,1,,
100610,A,2020,1,1,14,1,3,
100611,A,2022,1,0,12,1,,
100612,A,2020,1,0,13,1,2,
100613,A,2022,1,0,12,1,,
100614,A,2022,0,1,14,1,2,
100615,A,2022,0,0,12,1,,
100616,A,2020,1,1,14,1,2,
100617,A,2020,0,0,12,1,1,19
100618,A,2020,0,1,12,1,2,19
100619,A,2020,0,0,12,1,2,10
100620,A,2020,0,1,13,1,,17
100621,A,2020,1,1,13,1,,12
100622,A,2020,1,1,14,1,1,5
100623,A,2020,1,1,12,1,2,6
100624,A,2020,1,0,12,1,2,
100625,A,2022,0,1,11,1,2,
100626,A,2022,1,1,14,1,2,
100627,A,2020,0,0,12,1,3,
100628,A,2022,1,1,14,1,3,
100629,A,2020,0,1,14,1,2,
100630,A,2020,0,1,,1,2,6
100631,A,2020,0,1,11,1,2,
100632,A,2020,1,0,13,1,2,19
100633,A,2020,0,0,12,1,2,
100634,A,2020,0,0,12,1,2,19
100635,A,2020,1,1,12,1,2,8
100636,A,2020,0,1,12,1,2,4
100637,A,2020,1,1,13,1,1,19
100638,A,2020,0,1,14,1,3,16
100639,B,2018,1,1,,1,,
100640,A,2020,0,1,11,1,,
100641,A,2020,1,1,,1,2,7
100642,A,2020,1,1,14,1,2,19
100643,A,2020,0,0,12,1,3,
100644,A,2020,0,0,,1,1,
100645,A,2020,0,1,13,1,2,19
100646,A,2020,1,1,12,1,3,11
100647,A,2020,0,0,13,1,2,
100648,A,2020,0,0,11,1,1,19
100649,B,2018,1,0,11,1,2,
100650,A,2020,0,1,14,1,2,
100651,A,2022,0,1,12,1,1,
100652,A,2020,1,0,12,1,,4
100653,A,2020,0,1,12,1,,5
100654,A,2022,1,1,11,1,3,
100655,B,2018,1,1,13,0,1,
100656,A,2020,1,0,13,1,,19
100657,A,2022,1,0,12,1,1,
100658,A,2020,1,1,14,1,1,16
100659,A,2020,1,0,13,1,,19
100660,A,2020,0,0,12,1,2,19
100661,A,2020,1,1,12,1,2,7
100662,A,2020,1,1,12,1,2,17
100663,A,2020,1,1,12,1,2,7
100664,A,2022,1,0,13,1,,
100665,A,2020,1,1,12,1,2,6
100666,B,2018,0,0,14,0,1,
100667,A,2020,1,1,11,1,,19
100668,A,2020,0,1,15,1,2,17
100669,B,2018,1,0,11,1,2,
100670,A,2020,1,0,11,1,3,17
100671,A,2020,1,1,13,1,2,5
100672,A,2020,1,0,14,1,2,6
100673,A,2022,1,1,10,1,,
100674,A,2020,0,1,12,1,1,5
100675,B,2018,0,0,11,0,2,
100676,A,2020,0,1,14,1,2,5
100677,A,2022,1,1,13,1,,
100678,A,2020,0,1,14,1,2,17
100679,A,2020,1,1,11,1,2,5
100680,A,2020,0,0,11,1,3,12
100681,A,2020,1,1,12,1,1,19
100682,A,2022,1,0,14,1,2,
100683,A,2020,1,1,12,1,1,19
100684,B,2018,0,0,12,0,2,
100685,A,2020,1,1,12,1,2,18
100686,A,2020,1,0,12,1,3,
100687,A,2022,1,0,11,1,1,
100688,A,2020,0,1,12,1,,5
100689,A,2022,1,0,12,1,2,
100690,B,2018,0,0,12,1,,
100691,A,2020,1,1,14,1,2,16
100692,A,2020,1,1,15,1,2,19
100693,A,2020,0,0,13,1,2,17
100694,A,2020,0,1,12,1,2,7
100695,A,2020,1,1,15,1,2,5
100696,A,2020,1,1,12,1,2,11
100697,A,2020,1,1,12,1,,19
100698,A,2020,0,0,,1,2,5
100699,A,2020,0,0,12,1,,5
100700,A,2020,1,0,13,1,2,17
100701,A,2020,0,0,14,1,3,6
100702,A,2022,1,1,12,1,,
100703,A,2020,1,1,13,1,2,19
100704,A,2020,1,0,13,1,2,
100705,A,2020,1,0,12,1,2,11
100706,A,2020,1,1,14,1,2,11
100707,A,2020,1,0,,1,2,19
100708,A,2020,1,0,13,1,2,18
100709,B,2018,0,1,14,0,,
100710,A,2020,0,0,12,1,3,12
100711,A,2020,1,0,14,1,2,5
100712,A,2020,1,0,13,1,1,
