applicant_id,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked
101331,14,8,1,0,8.0,8.0,42.0,44.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101005,13,3,0,1,11.0,,37.0,32.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101321,16,3,0,0,,,,,,0,1,0,0,0,7,1,1,0,0,0,0,3,0,0,1,40.0
101020,14,7,1,0,5.0,5.0,30.0,38.0,0,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100210,18,6,0,0,5.0,5.0,40.0,54.0,0,0,0,0,0,0,7,1,1,0,1,1,1,4,0,0,0,0.0
101435,16,3,0,0,7.0,6.0,36.0,50.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101378,16,3,0,0,,,43.0,,,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0.0
101272,14,3,0,0,2.0,11.0,43.0,38.0,0,0,1,0,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100691,17,3,0,1,,0.0,,42.0,0,0,1,1,0,0,8,1,1,1,0,0,0,3,0,0,0,0.0
101417,14,4,0,0,7.0,,37.0,,,0,1,1,1,1,7,1,1,0,0,0,0,4,0,0,0,0.0
101513,15,4,1,0,6.0,2.0,58.0,56.0,0,1,1,1,1,1,9,1,1,1,0,0,0,4,0,0,0,0.0
101083,15,8,1,0,3.0,0.0,53.0,74.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100017,14,4,1,0,0.0,2.0,34.0,50.0,0,1,1,1,0,1,7,1,1,0,0,0,0,2,0,0,0,0.0
101345,15,3,0,0,,,39.0,42.0,0,0,1,0,0,1,7,1,1,0,1,1,1,4,0,0,0,0.0
101127,16,7,1,0,6.0,5.0,46.0,48.0,0,0,1,1,1,1,6,1,0,0,1,1,1,3,0,0,1,0.0
100586,14,4,0,0,7.0,6.0,42.0,42.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100259,14,8,1,0,5.0,5.0,43.0,46.0,0,0,1,0,0,0,7,1,1,0,0,0,0,2,0,0,1,40.0
101390,16,3,0,0,6.0,,39.0,,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100118,16,6,1,1,11.0,9.0,34.0,35.0,0,1,1,1,1,1,9,1,1,1,0,0,0,6,0,0,0,0.0
101098,12,7,1,0,8.0,5.0,36.0,39.0,0,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
101344,14,7,1,0,7.0,0.0,40.0,46.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100377,16,2,0,0,11.0,11.0,38.0,42.0,0,0,0,0,0,1,7,1,1,0,0,0,0,4,0,0,0,0.0
100970,15,1,0,1,2.0,3.0,42.0,56.0,0,0,1,0,0,1,8,1,1,1,0,0,0,4,0,0,1,30.0
100464,15,7,1,0,5.0,5.0,37.0,43.0,0,1,1,1,1,1,10,1,1,1,0,0,0,6,0,0,0,0.0
