"cohort","exposure","outcome","baseline_adjusted","n","k","n_control","n_selected","rf","rf_se","fs","fs_se","fs_F","var_rf","var_fs","cov_rf_fs","ar_p","beta","se","lower","upper","p","AR_set","constant_outcome"
"A_2020","started_g6_private","hours_worked",TRUE,1161,7,571,590,-1.34453043256319,0.625760306840105,0.0587127040398519,0.0168959110640824,12.0753835812894,0.391575961616622,0.000285471810685383,-0.000454547826456031,0.0318709198402375,-22.9001619760278,12.2874914657455,-47.0084880985928,1.20816414653723,0.0626180750573107,"[-63.73668474, -2.00694584]",FALSE
"A_2020","started_g7_private","years_in_school",FALSE,1161,2,571,590,0.056873163347086,0.052027359385938,0.168004393125351,0.024589333105209,46.681819586058,0.00270684612467355,0.000604635302558925,0.000509789228762485,0.274559693642628,0.33852188201205,0.293474644414281,-0.23727916005213,0.914322924076231,0.24894460195865,"[-0.30965693, 0.89599790]",FALSE
"A_2020","started_g7_private","years_in_school",TRUE,1161,7,571,590,0.0367360165178557,0.0501586741082828,0.163200202325,0.024388257640553,44.7795615572351,0.00251589258830092,0.00059478711074199,0.000462875697669239,0.464075569309805,0.225097861365998,0.296256991021175,-0.356164813406892,0.806360536138888,0.447525698851349,"[-0.43712856, 0.78328024]",FALSE
"A_2020","started_g7_private","married_or_cohab",FALSE,1160,2,571,589,-0.00727285701967471,0.00644444925359114,0.167742530157379,0.0246032479523851,46.4837858727801,4.15309261821115e-05,0.000605319809806542,-1.01810456890284e-05,0.259323175019383,-0.0433572631392359,0.0385364918600714,-0.118966426056964,0.0322518997784917,0.260781383078979,"[-0.12473859, 0.03323177]",FALSE
"A_2020","started_g7_private","married_or_cohab",TRUE,1160,7,571,589,-0.00586068074060152,0.00657005198979836,0.163019278771909,0.0244064904805997,44.613599608996,4.31655831486534e-05,0.000595676777579606,-8.69986258612732e-06,0.37256319608007,-0.0359508444936845,0.0403696344553451,-0.11515701947537,0.043255330488001,0.373360848163056,"[-0.12085286, 0.04491961]",FALSE
"A_2020","started_g7_private","has_child",FALSE,1160,2,571,589,-0.00950585604738362,0.009792723134451,0.167742530157379,0.0246032479523851,46.4837858727801,9.58974263880118e-05,0.000605319809806542,-2.29922569308401e-05,0.331897360702808,-0.0566693255339898,0.0581776429390418,-0.170814715288709,0.0574760642207291,0.330223258092478,"[-0.17755562, 0.06084267]",FALSE
"A_2020","started_g7_private","has_child",TRUE,1160,7,571,589,-0.00766329968245394,0.00970715046897395,0.163019278771909,0.0244064904805997,44.613599608996,9.42287702273011e-05,0.000595676777579606,-2.06970322954639e-05,0.430011968939319,-0.0470085485605426,0.0593467795242324,-0.163448329772718,0.0694312326516322,0.428465651850623,"[-0.16998586, 0.07365263]",FALSE
"A_2020","started_g7_private","working",FALSE,1161,2,571,590,-0.0434355427587645,0.0220092307825283,0.168004393125351,0.024589333105209,46.681819586058,0.000484406239638592,0.000604635302558925,-0.000108977177680535,0.0486741788454802,-0.258538136716202,0.128831202604191,-0.511306619860379,-0.00576965357202536,0.0450031328234798,"[-0.52955197, -0.00159885]",FALSE
"A_2020","started_g7_private","working",TRUE,1161,7,571,590,-0.0378790478015576,0.0208120635527233,0.163200202325,0.024388257640553,44.7795615572351,0.000433141989322594,0.00059478711074199,-8.57874277454053e-05,0.0690099676372555,-0.232101720842996,0.126374129610073,-0.480050518088414,0.0158470764024213,0.066522547906349,"[-0.49984442, 0.01911245]",FALSE
"A_2020","started_g7_private","hours_worked",FALSE,1161,2,571,590,-1.51875983258624,0.663397973047024,0.168004393125351,0.024589333105209,46.681819586058,0.4400968706429,0.000604635302558925,-0.00345089454092538,0.0222373179559964,-9.04000070672601,3.89002612763906,-16.6722822021916,-1.40771921126044,0.0203035107118905,"[-17.31301474, -1.36601252]",FALSE
